welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     36 : 15 : 51        moving average 500:   7.2% (max - stddev = 5.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     37 : 15 : 52        moving average 500:   7.4% (max - stddev = 5.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     38 : 15 : 53        moving average 500:   7.6% (max - stddev = 5.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     39 : 15 : 54        moving average 500:   7.8% (max - stddev = 5.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     40 : 15 : 55        moving average 500:   8.0% (max - stddev = 6.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     41 : 15 : 56        moving average 500:   8.2% (max - stddev = 6.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     42 : 15 : 57        moving average 500:   8.4% (max - stddev = 6.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     43 : 15 : 58        moving average 500:   8.6% (max - stddev = 6.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     44 : 15 : 59        moving average 500:   8.8% (max - stddev = 6.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     45 : 15 : 60        moving average 500:   9.0% (max - stddev = 7.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 15 : 61        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     47 : 15 : 62        moving average 500:   9.4% (max - stddev = 7.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     48 : 15 : 63        moving average 500:   9.6% (max - stddev = 7.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     49 : 15 : 64        moving average 500:   9.8% (max - stddev = 7.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     49 : 16 : 65        moving average 500:   9.8% (max - stddev = 7.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     50 : 16 : 66        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     51 : 16 : 67        moving average 500:   10.2% (max - stddev = 8.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     51 : 17 : 68        moving average 500:   10.2% (max - stddev = 8.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     52 : 17 : 69        moving average 500:   10.4% (max - stddev = 8.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     53 : 17 : 70        moving average 500:   10.6% (max - stddev = 8.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     54 : 17 : 71        moving average 500:   10.8% (max - stddev = 8.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     55 : 17 : 72        moving average 500:   11.0% (max - stddev = 9.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     55 : 18 : 73        moving average 500:   11.0% (max - stddev = 9.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 18 : 74        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     57 : 18 : 75        moving average 500:   11.4% (max - stddev = 9.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     58 : 18 : 76        moving average 500:   11.6% (max - stddev = 9.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     58 : 19 : 77        moving average 500:   11.6% (max - stddev = 9.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 19 : 78        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 19 : 79        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 20 : 80        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 20 : 81        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 21 : 82        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 22 : 83        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 23 : 84        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     62 : 23 : 85        moving average 500:   12.4% (max - stddev = 10.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     62 : 24 : 86        moving average 500:   12.4% (max - stddev = 10.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     63 : 24 : 87        moving average 500:   12.6% (max - stddev = 10.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 24 : 88        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 25 : 89        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 25 : 90        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 26 : 91        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 26 : 92        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 27 : 93        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 28 : 94        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 28 : 95        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 28 : 96        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 28 : 97        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 28 : 98        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     71 : 28 : 99        moving average 500:   14.2% (max - stddev = 12.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 28 : 100        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     73 : 28 : 101        moving average 500:   14.6% (max - stddev = 12.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     73 : 29 : 102        moving average 500:   14.6% (max - stddev = 12.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     74 : 29 : 103        moving average 500:   14.8% (max - stddev = 12.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     75 : 29 : 104        moving average 500:   15.0% (max - stddev = 13.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     76 : 29 : 105        moving average 500:   15.2% (max - stddev = 13.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     77 : 29 : 106        moving average 500:   15.4% (max - stddev = 13.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     77 : 30 : 107        moving average 500:   15.4% (max - stddev = 13.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     78 : 30 : 108        moving average 500:   15.6% (max - stddev = 13.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     79 : 30 : 109        moving average 500:   15.8% (max - stddev = 13.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     80 : 30 : 110        moving average 500:   16.0% (max - stddev = 14.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     81 : 30 : 111        moving average 500:   16.2% (max - stddev = 14.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     82 : 30 : 112        moving average 500:   16.4% (max - stddev = 14.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     83 : 30 : 113        moving average 500:   16.6% (max - stddev = 14.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     84 : 30 : 114        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     85 : 30 : 115        moving average 500:   17.0% (max - stddev = 15.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     85 : 31 : 116        moving average 500:   17.0% (max - stddev = 15.00%), std-dev of this is ~2%
