welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     84 : 145 : 229        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     84 : 146 : 230        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     84 : 147 : 231        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     85 : 147 : 232        moving average 500:   17.0% (max - stddev = 15.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     86 : 147 : 233        moving average 500:   17.2% (max - stddev = 15.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 147 : 234        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 148 : 235        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 149 : 236        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 150 : 237        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 151 : 238        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 152 : 239        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 153 : 240        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     88 : 153 : 241        moving average 500:   17.6% (max - stddev = 15.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     88 : 154 : 242        moving average 500:   17.6% (max - stddev = 15.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     89 : 154 : 243        moving average 500:   17.8% (max - stddev = 15.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 154 : 244        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 155 : 245        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 156 : 246        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 157 : 247        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 158 : 248        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 159 : 249        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 160 : 250        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 160 : 251        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 161 : 252        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 162 : 253        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 163 : 254        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 164 : 255        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 165 : 256        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 166 : 257        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 167 : 258        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 168 : 259        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 169 : 260        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 170 : 261        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 171 : 262        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 172 : 263        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 173 : 264        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 174 : 265        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 175 : 266        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 176 : 267        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 177 : 268        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 178 : 269        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 179 : 270        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     92 : 179 : 271        moving average 500:   18.4% (max - stddev = 16.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     92 : 180 : 272        moving average 500:   18.4% (max - stddev = 16.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 180 : 273        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 181 : 274        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 182 : 275        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 183 : 276        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 184 : 277        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 185 : 278        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 186 : 279        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 186 : 280        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 187 : 281        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 188 : 282        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 189 : 283        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     95 : 189 : 284        moving average 500:   19.0% (max - stddev = 17.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     95 : 190 : 285        moving average 500:   19.0% (max - stddev = 17.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     95 : 191 : 286        moving average 500:   19.0% (max - stddev = 17.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     96 : 191 : 287        moving average 500:   19.2% (max - stddev = 17.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     97 : 191 : 288        moving average 500:   19.4% (max - stddev = 17.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     97 : 192 : 289        moving average 500:   19.4% (max - stddev = 17.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     98 : 192 : 290        moving average 500:   19.6% (max - stddev = 17.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     98 : 193 : 291        moving average 500:   19.6% (max - stddev = 17.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     99 : 193 : 292        moving average 500:   19.8% (max - stddev = 17.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     99 : 194 : 293        moving average 500:   19.8% (max - stddev = 17.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     99 : 195 : 294        moving average 500:   19.8% (max - stddev = 17.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 195 : 295        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 196 : 296        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 197 : 297        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 198 : 298        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 199 : 299        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 200 : 300        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 201 : 301        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     101 : 201 : 302        moving average 500:   20.2% (max - stddev = 18.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     102 : 201 : 303        moving average 500:   20.4% (max - stddev = 18.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     102 : 202 : 304        moving average 500:   20.4% (max - stddev = 18.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     102 : 203 : 305        moving average 500:   20.4% (max - stddev = 18.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 203 : 306        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 204 : 307        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 205 : 308        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 206 : 309        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     104 : 206 : 310        moving average 500:   20.8% (max - stddev = 18.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     105 : 206 : 311        moving average 500:   21.0% (max - stddev = 19.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     106 : 206 : 312        moving average 500:   21.2% (max - stddev = 19.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     106 : 207 : 313        moving average 500:   21.2% (max - stddev = 19.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     106 : 208 : 314        moving average 500:   21.2% (max - stddev = 19.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     107 : 208 : 315        moving average 500:   21.4% (max - stddev = 19.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     107 : 209 : 316        moving average 500:   21.4% (max - stddev = 19.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     108 : 209 : 317        moving average 500:   21.6% (max - stddev = 19.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     109 : 209 : 318        moving average 500:   21.8% (max - stddev = 19.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 209 : 319        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 210 : 320        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 211 : 321        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 211 : 322        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     112 : 211 : 323        moving average 500:   22.4% (max - stddev = 20.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     112 : 212 : 324        moving average 500:   22.4% (max - stddev = 20.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     112 : 213 : 325        moving average 500:   22.4% (max - stddev = 20.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 213 : 326        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 214 : 327        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 215 : 328        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 216 : 329        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 217 : 330        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 218 : 331        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 219 : 332        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 220 : 333        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     114 : 220 : 334        moving average 500:   22.8% (max - stddev = 20.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     114 : 221 : 335        moving average 500:   22.8% (max - stddev = 20.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     115 : 221 : 336        moving average 500:   23.0% (max - stddev = 21.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 221 : 337        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 222 : 338        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 223 : 339        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 224 : 340        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 225 : 341        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 226 : 342        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 227 : 343        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 228 : 344        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 229 : 345        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 230 : 346        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 231 : 347        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 232 : 348        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 233 : 349        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 234 : 350        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 235 : 351        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 236 : 352        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 237 : 353        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 238 : 354        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     117 : 238 : 355        moving average 500:   23.4% (max - stddev = 21.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 238 : 356        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 239 : 357        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 240 : 358        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 241 : 359        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 242 : 360        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     119 : 242 : 361        moving average 500:   23.8% (max - stddev = 21.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     120 : 242 : 362        moving average 500:   24.0% (max - stddev = 22.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     120 : 243 : 363        moving average 500:   24.0% (max - stddev = 22.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     120 : 244 : 364        moving average 500:   24.0% (max - stddev = 22.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 244 : 365        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 245 : 366        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 246 : 367        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 247 : 368        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 248 : 369        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 249 : 370        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 250 : 371        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 251 : 372        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     122 : 251 : 373        moving average 500:   24.4% (max - stddev = 22.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 251 : 374        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 252 : 375        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 253 : 376        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 254 : 377        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 255 : 378        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 256 : 379        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 257 : 380        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 258 : 381        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 259 : 382        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 260 : 383        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 261 : 384        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 262 : 385        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 263 : 386        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 263 : 387        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 264 : 388        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 265 : 389        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 266 : 390        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 267 : 391        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 268 : 392        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 269 : 393        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 270 : 394        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     125 : 270 : 395        moving average 500:   25.0% (max - stddev = 23.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     125 : 271 : 396        moving average 500:   25.0% (max - stddev = 23.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     125 : 272 : 397        moving average 500:   25.0% (max - stddev = 23.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     125 : 273 : 398        moving average 500:   25.0% (max - stddev = 23.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 273 : 399        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 274 : 400        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 275 : 401        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 276 : 402        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 277 : 403        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 278 : 404        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 279 : 405        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 280 : 406        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 281 : 407        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 282 : 408        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 283 : 409        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     127 : 283 : 410        moving average 500:   25.4% (max - stddev = 23.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     127 : 284 : 411        moving average 500:   25.4% (max - stddev = 23.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     128 : 284 : 412        moving average 500:   25.6% (max - stddev = 23.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     128 : 285 : 413        moving average 500:   25.6% (max - stddev = 23.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     129 : 285 : 414        moving average 500:   25.8% (max - stddev = 23.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     129 : 286 : 415        moving average 500:   25.8% (max - stddev = 23.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     129 : 287 : 416        moving average 500:   25.8% (max - stddev = 23.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     129 : 288 : 417        moving average 500:   25.8% (max - stddev = 23.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     130 : 288 : 418        moving average 500:   26.0% (max - stddev = 24.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     130 : 289 : 419        moving average 500:   26.0% (max - stddev = 24.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     131 : 289 : 420        moving average 500:   26.2% (max - stddev = 24.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     132 : 289 : 421        moving average 500:   26.4% (max - stddev = 24.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     132 : 290 : 422        moving average 500:   26.4% (max - stddev = 24.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     133 : 290 : 423        moving average 500:   26.6% (max - stddev = 24.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     133 : 291 : 424        moving average 500:   26.6% (max - stddev = 24.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 291 : 425        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 292 : 426        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 293 : 427        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 294 : 428        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 295 : 429        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 296 : 430        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     135 : 296 : 431        moving average 500:   27.0% (max - stddev = 25.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     135 : 297 : 432        moving average 500:   27.0% (max - stddev = 25.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     136 : 297 : 433        moving average 500:   27.2% (max - stddev = 25.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     137 : 297 : 434        moving average 500:   27.4% (max - stddev = 25.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     137 : 298 : 435        moving average 500:   27.4% (max - stddev = 25.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     138 : 298 : 436        moving average 500:   27.6% (max - stddev = 25.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     138 : 299 : 437        moving average 500:   27.6% (max - stddev = 25.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     139 : 299 : 438        moving average 500:   27.8% (max - stddev = 25.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     139 : 300 : 439        moving average 500:   27.8% (max - stddev = 25.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 300 : 440        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 301 : 441        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 302 : 442        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 303 : 443        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 304 : 444        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 305 : 445        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 306 : 446        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     141 : 306 : 447        moving average 500:   28.2% (max - stddev = 26.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     141 : 307 : 448        moving average 500:   28.2% (max - stddev = 26.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     142 : 307 : 449        moving average 500:   28.4% (max - stddev = 26.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     142 : 308 : 450        moving average 500:   28.4% (max - stddev = 26.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 308 : 451        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 309 : 452        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 310 : 453        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 311 : 454        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 312 : 455        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 313 : 456        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 314 : 457        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
