Loading: ./pub_stomper_repository/nn_pg_2_model.pt and ./pub_stomper_repository/nn_pg_2_optim.pt
Loading...
Loading: ./pub_stomper_repository/nn_pg_2_valuefunction.pt and ./pub_stomper_repository/nn_pg_2_valueoptim.pt
torch.Size([1, 200])
torch.Size([1])
Player 1 : Player 2 : Total     50 : 1 : 51        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     51 : 1 : 52        moving average 500:   10.2% (max - stddev = 8.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     52 : 1 : 53        moving average 500:   10.4% (max - stddev = 8.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     53 : 1 : 54        moving average 500:   10.6% (max - stddev = 8.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     54 : 1 : 55        moving average 500:   10.8% (max - stddev = 8.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     55 : 1 : 56        moving average 500:   11.0% (max - stddev = 9.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 1 : 57        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     57 : 1 : 58        moving average 500:   11.4% (max - stddev = 9.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     58 : 1 : 59        moving average 500:   11.6% (max - stddev = 9.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 1 : 60        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 1 : 61        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 1 : 62        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     62 : 1 : 63        moving average 500:   12.4% (max - stddev = 10.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     63 : 1 : 64        moving average 500:   12.6% (max - stddev = 10.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 1 : 65        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 1 : 66        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 1 : 67        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 1 : 68        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 1 : 69        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 1 : 70        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 1 : 71        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     71 : 1 : 72        moving average 500:   14.2% (max - stddev = 12.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 1 : 73        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     73 : 1 : 74        moving average 500:   14.6% (max - stddev = 12.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     74 : 1 : 75        moving average 500:   14.8% (max - stddev = 12.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     75 : 1 : 76        moving average 500:   15.0% (max - stddev = 13.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     76 : 1 : 77        moving average 500:   15.2% (max - stddev = 13.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     77 : 1 : 78        moving average 500:   15.4% (max - stddev = 13.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     78 : 1 : 79        moving average 500:   15.6% (max - stddev = 13.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     79 : 1 : 80        moving average 500:   15.8% (max - stddev = 13.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     80 : 1 : 81        moving average 500:   16.0% (max - stddev = 14.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     81 : 1 : 82        moving average 500:   16.2% (max - stddev = 14.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     82 : 1 : 83        moving average 500:   16.4% (max - stddev = 14.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     83 : 1 : 84        moving average 500:   16.6% (max - stddev = 14.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     84 : 1 : 85        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     85 : 1 : 86        moving average 500:   17.0% (max - stddev = 15.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     86 : 1 : 87        moving average 500:   17.2% (max - stddev = 15.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 1 : 88        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     88 : 1 : 89        moving average 500:   17.6% (max - stddev = 15.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     89 : 1 : 90        moving average 500:   17.8% (max - stddev = 15.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 1 : 91        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 1 : 92        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     92 : 1 : 93        moving average 500:   18.4% (max - stddev = 16.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 1 : 94        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 1 : 95        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
