welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     32 : 19 : 51        moving average 500:   6.4% (max - stddev = 4.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     33 : 19 : 52        moving average 500:   6.6% (max - stddev = 4.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 19 : 53        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 20 : 54        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     35 : 20 : 55        moving average 500:   7.0% (max - stddev = 5.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     36 : 20 : 56        moving average 500:   7.2% (max - stddev = 5.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     36 : 21 : 57        moving average 500:   7.2% (max - stddev = 5.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     36 : 22 : 58        moving average 500:   7.2% (max - stddev = 5.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     37 : 22 : 59        moving average 500:   7.4% (max - stddev = 5.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     38 : 22 : 60        moving average 500:   7.6% (max - stddev = 5.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     39 : 22 : 61        moving average 500:   7.8% (max - stddev = 5.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     40 : 22 : 62        moving average 500:   8.0% (max - stddev = 6.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     41 : 22 : 63        moving average 500:   8.2% (max - stddev = 6.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     42 : 22 : 64        moving average 500:   8.4% (max - stddev = 6.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     43 : 22 : 65        moving average 500:   8.6% (max - stddev = 6.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     44 : 22 : 66        moving average 500:   8.8% (max - stddev = 6.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     44 : 23 : 67        moving average 500:   8.8% (max - stddev = 6.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     45 : 23 : 68        moving average 500:   9.0% (max - stddev = 7.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 23 : 69        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 24 : 70        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     47 : 24 : 71        moving average 500:   9.4% (max - stddev = 7.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     48 : 24 : 72        moving average 500:   9.6% (max - stddev = 7.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     49 : 24 : 73        moving average 500:   9.8% (max - stddev = 7.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     49 : 25 : 74        moving average 500:   9.8% (max - stddev = 7.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     49 : 26 : 75        moving average 500:   9.8% (max - stddev = 7.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     50 : 26 : 76        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     51 : 26 : 77        moving average 500:   10.2% (max - stddev = 8.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     52 : 26 : 78        moving average 500:   10.4% (max - stddev = 8.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     53 : 26 : 79        moving average 500:   10.6% (max - stddev = 8.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     54 : 26 : 80        moving average 500:   10.8% (max - stddev = 8.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     55 : 26 : 81        moving average 500:   11.0% (max - stddev = 9.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 26 : 82        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     57 : 26 : 83        moving average 500:   11.4% (max - stddev = 9.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     58 : 26 : 84        moving average 500:   11.6% (max - stddev = 9.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 26 : 85        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 26 : 86        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 26 : 87        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
